ลำดับ,ลำดับ,ชื่อเพลง,ชื่อศิลปิน,Link เพลง (เก่า),เวลา (เก่า),ชื่อคนเสนอ,เลือก (เก่า),หมายเหตุ (เก่า),Link เพลง,ช่วงเวลาเพลง เริ่ม,ช่วงเวลาเพลง จบ,ชื่อผู้เสนอเพลง + ชั้นปี,ความคืบหน้า,หมายเหตุ,,รวมเลือก (G),85
51,80,Love Dive,IVE,https://www.youtube.com/watch?v=Y8JFxS1HlDo&list=RDY8JFxS1HlDo&start_radio=1,0.33-1.15,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=Y8JFxS1HlDo,00:00:33,00:01:15,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
52,81,Bon Bon Chocolat ,Everglow,https://youtu.be/HvGql8HwOIM,0:48 - 1:16,ไหน ปี3,1,,https://www.youtube.com/watch?v=HvGql8HwOIM,00:00:48,00:01:16,ไหน ปี3,ไม่ได้เริ่ม,,,,
53,83,SUPER,Seventeen,https://youtu.be/-GQg25oP0S4?si=EclEUwYuOE-qv08d,0.49-1.25,ภพ ปี2,1,,https://www.youtube.com/watch?v=-GQg25oP0S4,00:00:49,00:01:25,ภพ ปี2,ไม่ได้เริ่ม,,,,
54,85,Gnarly,Kateye ,https://youtu.be/PkMKJEkE8Mo,0:20 - 1:17,ไหน ปี3,1,,https://www.youtube.com/watch?v=PkMKJEkE8Mo,00:00:20,00:01:17,ไหน ปี3,ไม่ได้เริ่ม,,,,
55,89,Dynamite,BTS,https://youtu.be/gdZLi9oWNZg?si=19BkHuHYm4an2pZZ,1.48-2.31,ภพ ปี2,1,จบเร็ววววว,https://www.youtube.com/watch?v=gdZLi9oWNZg,00:01:48,00:02:31,ภพ ปี2,ไม่ได้เริ่ม,,,,
56,90,Stop Stop it,GOT7,https://youtu.be/wZ_Nt_sGYbk?si=-TuOK37kppfjUgos,0.37-1.07,ภพ ปี2,1,เบา,https://www.youtube.com/watch?v=wZ_Nt_sGYbk,00:00:37,00:01:07,ภพ ปี2,ไม่ได้เริ่ม,,,,
57,93,GANGNAM STYLE,PSY,https://youtu.be/9bZkp7q19f0?si=ysNTHZukjGFurFzf,0.55-1.40,,1,,https://www.youtube.com/watch?v=9bZkp7q19f0,00:00:55,00:01:40,,ไม่ได้เริ่ม,,,,
58,99,OMG,NewJeans,https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1,0.38-1.17,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=sVTy_wmn5SU,00:00:38,00:01:17,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
59,100,WA DA DA,Kep1er,https://www.youtube.com/watch?v=n0j5NPptyM0&list=RDn0j5NPptyM0&start_radio=1,0.40-1.19,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=n0j5NPptyM0,00:00:40,00:01:19,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
60,101,CRAZY,LE SSERAFIM,https://youtu.be/n6B5gQXlB-0?si=UDJSzwDScG9XQyoX,0.53-1.36,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=n6B5gQXlB-0,00:00:53,00:01:36,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
61,103,After School,Weeekly,https://youtu.be/qfVuRQX0ydQ?si=H1FuBI5-TMLy0tGX,0.37-1.18,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=qfVuRQX0ydQ,00:00:37,00:01:18,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
62,104,Life Boy,4EVE,https://www.youtube.com/watch?v=xMcHIcXCybg&list=RDxMcHIcXCybg&start_radio=1,0.53-1.28,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=xMcHIcXCybg,00:00:53,00:01:28,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
63,105,teedee tada,ไดมอน,https://youtu.be/HCY9ovCm-OY?si=fIsLWolvshNhW_dI,0.51-1.17,,1,,https://www.youtube.com/watch?v=HCY9ovCm-OY,00:00:51,00:01:17,,ไม่ได้เริ่ม,,,,
64,106,Yes or yes,Twice,https://youtu.be/mAKsZ26SabQ?si=zLlnUottzJ_mEb5O,1.33-2.13,ฮูก ปี 2,1,,https://www.youtube.com/watch?v=mAKsZ26SabQ,00:01:33,00:02:13,ฮูก ปี 2,ไม่ได้เริ่ม,,,,
